"rayyan_key","location","biome","taxonomic_group","conservation_problem","stakeholder_population","type_of_scientific_evidence","study_design","data_collected","factors_influencing_evidence_use","evidence_discipline","scale_of_study","scale_of_decision_making","type_of_organisation_studied","description_of_decision_type","location_std","continent_raw"
"rayyan-153487944","UK","Shrubland","Birds","Overexploitation","Researchers, Practitioners","No description provided","Surveys, Focus groups","Stakeholder perceptions","Rigour, Source of evidence, Scientist-actor relationships","Not mentioned","Multi-region","Regional","Not detailed","COnflict between grouse hunting and ground nesting bird conservation","United Kingdom","Europe"
"rayyan-153488205","Zimbabwe","Not mentioned","Mammals","Overexploitation","Practitioners","Monitoring data","Interviews","Stakeholder perceptions","Scientist-actor relationships, Practitioner/policmaker attitude towards evidence use, Practitioner/policymaker research skills, Culture of practitioner/policymakers, Capacity and resources","Natural sciences","Multi-unit","Local","Government/statutory body","Management of elephant poaching","Zimbabwe","Africa"
"rayyan-153488643","Bolivia","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners, Policymakers","No description provided","Surveys, Workshops","Stakeholder perceptions","Accessibility of evidence, Scientist-actor relationships, Social, political, and economic context, Capacity and resources, Practitioner/policymaker-stakeholder relationships","Natural sciences","Multi-country","Not reported","NGO/non-profit, Community/local organisation, Private sector, Academic institution, Indigenous organisation","Use of biodiversity products in conservation","Bolivia","Americas"
"rayyan-153488643","Peru","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners, Policymakers","No description provided","Surveys, Workshops","Stakeholder perceptions","Accessibility of evidence, Scientist-actor relationships, Social, political, and economic context, Capacity and resources, Practitioner/policymaker-stakeholder relationships","Natural sciences","Multi-country","Not reported","NGO/non-profit, Community/local organisation, Private sector, Academic institution, Indigenous organisation","Use of biodiversity products in conservation","Peru","Americas"
"rayyan-153488643","Ecuador","Not mentioned","Not mentioned","Not reported","Researchers, Practitioners, Policymakers","No description provided","Surveys, Workshops","Stakeholder perceptions","Accessibility of evidence, Scientist-actor relationships, Social, political, and economic context, Capacity and resources, Practitioner/policymaker-stakeholder relationships","Natural sciences","Multi-country","Not reported","NGO/non-profit, Community/local organisation, Private sector, Academic institution, Indigenous organisation","Use of biodiversity products in conservation","Ecuador","Americas"
"rayyan-153489354","USA","Not mentioned","Not mentioned","Not reported","Practitioners","No description provided","Surveys","Stakeholder perceptions","Existence of evidence, Practitioner/policmaker attitude towards evidence use, Practitioner/policymaker research skills, Culture of practitioner/policymakers, Capacity and resources","Both natural and social sciences","Multi-region","Not reported","Government/statutory body, NGO/non-profit","Implementation of cost-effective conservation","United States","Americas"
"rayyan-153489474","France","Marine","Not mentioned","Overexploitation","Practitioners","Research data","Workshops","Stakeholder perceptions","Rigour, Practitioner/policymaker research skills","Natural sciences","Multi-country","Regional","Not detailed","","France","Europe"
"rayyan-153489474","Reunion","Marine","Not mentioned","Overexploitation","Practitioners","Research data","Workshops","Stakeholder perceptions","Rigour, Practitioner/policymaker research skills","Natural sciences","Multi-country","Regional","Not detailed","","Reunion","Africa"
"rayyan-153489474","Mayotte","Marine","Not mentioned","Overexploitation","Practitioners","Research data","Workshops","Stakeholder perceptions","Rigour, Practitioner/policymaker research skills","Natural sciences","Multi-country","Regional","Not detailed","","Mayotte","Africa"
"rayyan-153489474","Saint Martin","Marine","Not mentioned","Overexploitation","Practitioners","Research data","Workshops","Stakeholder perceptions","Rigour, Practitioner/policymaker research skills","Natural sciences","Multi-country","Regional","Not detailed","","Saint-Martin",NA
"rayyan-153497509","Canada","Forest","Not mentioned","Overexploitation","Practitioners, Policymakers","No description provided","Interviews","Stakeholder perceptions","Social, political, and economic context","Natural sciences","Multi-unit","Regional","Government/statutory body, NGO/non-profit, Private sector","Forest management strategy","Canada","Americas"
"rayyan-153498990","UK","Desert, Forest, Grassland, Marine, Freshwater, Agroecosystems","Birds, Mammals, Plants, Invertebrates, Reptiles or Amphibians, Fish, Fungi","Not reported","Researchers","Peer-reviewed studies","Surveys","Stakeholder perceptions","Inconclusive, Scientist-actor relationships, Social, political, and economic context, Implementation capacity, Practitioner/policmaker attitude towards evidence use","Natural sciences","Multi-country","Not reported","Not detailed","Use of evidence in management","United Kingdom","Europe"
"rayyan-153498990","Australia","Desert, Forest, Grassland, Marine, Freshwater, Agroecosystems","Birds, Mammals, Plants, Invertebrates, Reptiles or Amphibians, Fish, Fungi","Not reported","Researchers","Peer-reviewed studies","Surveys","Stakeholder perceptions","Inconclusive, Scientist-actor relationships, Social, political, and economic context, Implementation capacity, Practitioner/policmaker attitude towards evidence use","Natural sciences","Multi-country","Not reported","Not detailed","Use of evidence in management","Australia","Oceania"
"rayyan-153498990","New Zealand","Desert, Forest, Grassland, Marine, Freshwater, Agroecosystems","Birds, Mammals, Plants, Invertebrates, Reptiles or Amphibians, Fish, Fungi","Not reported","Researchers","Peer-reviewed studies","Surveys","Stakeholder perceptions","Inconclusive, Scientist-actor relationships, Social, political, and economic context, Implementation capacity, Practitioner/policmaker attitude towards evidence use","Natural sciences","Multi-country","Not reported","Not detailed","Use of evidence in management","New Zealand","Oceania"
"rayyan-153498990","USA","Desert, Forest, Grassland, Marine, Freshwater, Agroecosystems","Birds, Mammals, Plants, Invertebrates, Reptiles or Amphibians, Fish, Fungi","Not reported","Researchers","Peer-reviewed studies","Surveys","Stakeholder perceptions","Inconclusive, Scientist-actor relationships, Social, political, and economic context, Implementation capacity, Practitioner/policmaker attitude towards evidence use","Natural sciences","Multi-country","Not reported","Not detailed","Use of evidence in management","United States","Americas"
"rayyan-153498990","Canada","Desert, Forest, Grassland, Marine, Freshwater, Agroecosystems","Birds, Mammals, Plants, Invertebrates, Reptiles or Amphibians, Fish, Fungi","Not reported","Researchers","Peer-reviewed studies","Surveys","Stakeholder perceptions","Inconclusive, Scientist-actor relationships, Social, political, and economic context, Implementation capacity, Practitioner/policmaker attitude towards evidence use","Natural sciences","Multi-country","Not reported","Not detailed","Use of evidence in management","Canada","Americas"
"rayyan-153499092","USA","Shrubland","Birds","Land use change","Researchers, Practitioners, Policymakers","No description provided","Interviews, Focus groups","Stakeholder perceptions","Existence of evidence, Relevance","Natural sciences","Multi-region","Regional","Government/statutory body, NGO/non-profit, Community/local organisation, Private sector, Academic institution","Management of transmission lines for their impacts on greater sage-grouse","United States","Americas"
"rayyan-164684141","Australia","Freshwater","Fish","River regulation","Researchers, Practitioners","No description provided","Surveys, Workshops","Stakeholder perceptions","Existence of evidence, Format and language, Relevance, Rigour, Timeliness of evidence, Scientist-actor relationships","Natural sciences","Multi-unit","Regional","Government/statutory body, Academic institution","Managment of river flows","Australia","Oceania"
"rayyan-164684840","USA","Freshwater","Not mentioned","River management","Researchers, Practitioners","Peer-reviewed studies","Interviews","Stakeholder perceptions","Existence of evidence, Rigour, Uncertainty, Spatial/temporal scale of evidence","Natural sciences","Multi-region","Local","Government/statutory body, NGO/non-profit, Private sector, Academic institution","Management of rivers using mimicry of beaver dams","United States","Americas"
